epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.9768224358558655,0.11396452784538269,0.9813550114631653,0.06789270043373108
1,0.9769038558006287,0.07102271169424057,0.9813550114631653,0.05923771113157272
2,0.977057695388794,0.06539434939622879,0.9816267490386963,0.057643380016088486
3,0.9773589968681335,0.06256358325481415,0.9818708896636963,0.060601115226745605
4,0.9772788882255554,0.061757080256938934,0.981987476348877,0.05424789711833
5,0.9775916337966919,0.05981972813606262,0.9824097752571106,0.05469384789466858
6,0.977654218673706,0.05889522656798363,0.9821833372116089,0.053573209792375565
7,0.9776285886764526,0.058247312903404236,0.9821135401725769,0.052217498421669006
8,0.9778684377670288,0.05694210156798363,0.9824137091636658,0.051109738647937775
9,0.9777444005012512,0.05663402006030083,0.9827896356582642,0.05058981850743294
10,0.9779487252235413,0.05611039698123932,0.9825655817985535,0.05040009319782257
11,0.9777688980102539,0.055475424975156784,0.9823511838912964,0.05001431703567505
12,0.9780488610267639,0.054629985243082047,0.9818502068519592,0.04988108575344086
13,0.9781960248947144,0.05391702800989151,0.982062041759491,0.050757866352796555
14,0.9780061841011047,0.05383040010929108,0.9826276302337646,0.05006003752350807
15,0.9783763885498047,0.052807506173849106,0.9830182194709778,0.0470716655254364
16,0.9782556891441345,0.05265020951628685,0.982428252696991,0.04778013005852699
17,0.9782928228378296,0.052349429577589035,0.9831546545028687,0.04693011939525604
18,0.9784901142120361,0.051511798053979874,0.9821807742118835,0.04816370829939842
19,0.9785944819450378,0.05112183839082718,0.982565701007843,0.04603445157408714
